,Salary Estimate,Location,Size,Founded,Type of ownership,Industry,Revenue,salary_min,salary_max,salary_avg,Ubicacion,Antiguedad,Senior,Junior,Public,Private,Size_Num,Revenue_Num,Title_data,Title_engineer,Title_scientist,Title_analyst,Title_machine,Skill_python,Skill_sql,Skill_aws,Skill_excel,Skill_spark
120,$99K-$132K (Glassdoor est.),"Dayton, OH",51 to 200 employees,2006,Company - Private,Consulting,Unknown / Non-Applicable,99000,132000,115500.0,OH,18,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,0,1,0
121,$99K-$132K (Glassdoor est.),"San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Unknown / Non-Applicable,99000,132000,115500.0,CA,9,1,0,0,1,200.0,147.54861111111111,1,1,0,0,0,1,0,0,0,1
122,$99K-$132K (Glassdoor est.),"Herndon, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),99000,132000,115500.0,VA,12,1,0,0,1,1000.0,500.0,1,0,1,0,0,1,0,1,1,0
123,$99K-$132K (Glassdoor est.),"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,$25 to $50 million (USD),99000,132000,115500.0,FL,18,0,0,1,0,200.0,50.0,1,1,0,0,0,1,1,1,1,1
124,$99K-$132K (Glassdoor est.),"Schaumburg, IL",51 to 200 employees,2006,Company - Private,Other,Unknown / Non-Applicable,99000,132000,115500.0,IL,18,0,0,0,1,200.0,147.54861111111111,0,0,0,1,0,1,1,0,1,0
125,$99K-$132K (Glassdoor est.),"Cupertino, CA",5001 to 10000 employees,1996,Company - Public,Other,$2 to $5 billion (USD),99000,132000,115500.0,CA,28,1,0,1,0,10000.0,5.0,1,0,1,0,0,1,0,1,1,1
126,$90K-$109K (Glassdoor est.),"Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Unknown / Non-Applicable,90000,109000,99500.0,MO,8,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,0,0,1
127,$90K-$109K (Glassdoor est.),"Chicago, IL",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,90000,109000,99500.0,IL,10,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,0,0,0
128,$90K-$109K (Glassdoor est.),"Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,$25 to $50 million (USD),90000,109000,99500.0,FL,18,0,0,1,0,200.0,50.0,1,1,0,0,0,1,1,1,1,1
129,$90K-$109K (Glassdoor est.),"Cupertino, CA",5001 to 10000 employees,1996,Company - Public,Other,$2 to $5 billion (USD),90000,109000,99500.0,CA,28,1,0,1,0,10000.0,5.0,1,0,1,0,0,1,0,1,1,1
130,$90K-$109K (Glassdoor est.),"San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,90000,109000,99500.0,CA,8,0,0,0,1,50.0,147.54861111111111,1,0,1,0,0,0,1,0,0,0
131,$90K-$109K (Glassdoor est.),"Lehi, UT",201 to 500 employees,2011,Company - Private,Other,$50 to $100 million (USD),90000,109000,99500.0,UT,13,1,0,0,1,500.0,100.0,1,1,0,0,0,1,1,1,0,1
132,$90K-$109K (Glassdoor est.),"Culver City, CA",51 to 200 employees,2003,Company - Private,Advertising & Marketing,$25 to $50 million (USD),90000,109000,99500.0,CA,21,0,0,0,1,200.0,50.0,1,1,0,0,0,1,1,0,1,0
133,$90K-$109K (Glassdoor est.),"Lake Oswego, OR",1001 to 5000 employees,2012,Company - Private,Computer Hardware & Software,$100 to $500 million (USD),90000,109000,99500.0,OR,12,0,0,0,1,5000.0,500.0,1,0,1,0,0,1,1,0,0,1
137,$90K-$109K (Glassdoor est.),"San Mateo, CA",201 to 500 employees,2012,Company - Private,Other,Unknown / Non-Applicable,90000,109000,99500.0,CA,12,0,0,0,1,500.0,147.54861111111111,1,0,1,0,0,1,0,0,0,0
138,$90K-$109K (Glassdoor est.),"San Francisco, CA",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,$25 to $50 million (USD),90000,109000,99500.0,CA,30,0,0,0,1,500.0,50.0,1,0,0,1,0,1,0,0,0,1
139,$90K-$109K (Glassdoor est.),"Palo Alto, CA",201 to 500 employees,2012,Company - Private,Other,Unknown / Non-Applicable,90000,109000,99500.0,CA,12,0,0,0,1,500.0,147.54861111111111,1,1,0,0,0,0,0,0,1,1
140,$90K-$109K (Glassdoor est.),"Holyoke, MA",501 to 1000 employees,1997,Nonprofit Organization,Other,Unknown / Non-Applicable,90000,109000,99500.0,MA,27,0,0,0,0,1000.0,147.54861111111111,1,1,0,0,0,0,1,0,1,0
141,$90K-$109K (Glassdoor est.),"Chicago, IL",1001 to 5000 employees,2001,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,90000,109000,99500.0,IL,23,0,0,0,1,5000.0,147.54861111111111,1,1,0,0,0,0,1,0,1,1
142,$90K-$109K (Glassdoor est.),"San Francisco, CA",51 to 200 employees,2013,Company - Private,Other,$5 to $10 million (USD),90000,109000,99500.0,CA,11,1,0,0,1,200.0,10.0,1,0,1,0,0,1,1,1,0,1
143,$90K-$109K (Glassdoor est.),"McLean, VA",5001 to 10000 employees,1958,Nonprofit Organization,Other,$1 to $2 billion (USD),90000,109000,99500.0,VA,66,0,0,0,0,10000.0,2.0,1,0,1,0,0,1,0,0,0,0
144,$90K-$109K (Glassdoor est.),"Herndon, VA",1 to 50 employees,2013,Company - Private,Aerospace & Defense,$10 to $25 million (USD),90000,109000,99500.0,VA,11,0,0,0,1,50.0,25.0,0,1,0,0,1,1,0,0,1,0
145,$90K-$109K (Glassdoor est.),"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million (USD),90000,109000,99500.0,MD,11,0,0,0,0,1000.0,500.0,0,0,1,0,0,0,0,0,1,0
146,$90K-$109K (Glassdoor est.),"Woodbridge, NJ",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,$10 to $25 million (USD),90000,109000,99500.0,NJ,42,0,0,0,1,5000.0,25.0,1,0,1,0,0,0,1,0,1,0
147,$90K-$109K (Glassdoor est.),"San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million (USD),90000,109000,99500.0,CA,18,0,0,0,1,1000.0,100.0,0,0,1,0,0,0,0,0,0,0
148,$90K-$109K (Glassdoor est.),"Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,$10 to $25 million (USD),90000,109000,99500.0,MA,24,0,0,0,1,200.0,25.0,1,0,1,0,0,0,1,1,0,0
149,$90K-$109K (Glassdoor est.),"Dearborn, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,90000,109000,99500.0,MI,57,0,0,0,1,500.0,147.54861111111111,0,0,0,0,0,0,1,0,1,0
150,$90K-$109K (Glassdoor est.),"Maryland Heights, MO",10000+ employees,2016,Subsidiary or Business Segment,Other,$10+ billion (USD),90000,109000,99500.0,MO,8,0,0,0,0,10000.0,10.0,1,0,1,0,0,1,1,0,1,0
151,$90K-$109K (Glassdoor est.),"Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,$50 to $100 million (USD),90000,109000,99500.0,MD,63,0,0,0,1,500.0,100.0,0,0,1,0,0,0,0,0,0,0
152,$90K-$109K (Glassdoor est.),"Carpinteria, CA",1001 to 5000 employees,2002,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,90000,109000,99500.0,CA,22,0,0,0,1,5000.0,147.54861111111111,1,1,0,0,0,1,1,1,1,1
153,$90K-$109K (Glassdoor est.),"Columbia, SC",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,$100 to $500 million (USD),90000,109000,99500.0,SC,29,1,0,0,1,500.0,500.0,0,0,1,0,0,0,0,0,1,0
154,$90K-$109K (Glassdoor est.),"Hauppauge, NY",-1,-1,-1,-1,-1,90000,109000,99500.0,NY,2025,0,0,0,0,3313.375796178344,147.54861111111111,0,0,1,0,0,0,0,0,0,0
155,$90K-$109K (Glassdoor est.),"Saint Louis, MO",10000+ employees,1963,Company - Private,Biotech & Pharmaceuticals,$2 to $5 billion (USD),90000,109000,99500.0,MO,61,1,0,0,1,10000.0,5.0,1,0,1,0,0,1,0,0,1,0
156,$101K-$165K (Glassdoor est.),"Herndon, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),101000,165000,133000.0,VA,12,0,0,0,1,1000.0,500.0,1,0,1,0,0,1,0,1,1,0
157,$101K-$165K (Glassdoor est.),"Washington, DC",1 to 50 employees,1997,Company - Private,Other,Unknown / Non-Applicable,101000,165000,133000.0,DC,27,0,0,0,1,50.0,147.54861111111111,1,0,1,0,0,1,1,0,1,1
158,$101K-$165K (Glassdoor est.),"Reston, VA",-1,-1,-1,-1,-1,101000,165000,133000.0,VA,2025,0,0,0,0,3313.375796178344,147.54861111111111,0,1,0,0,1,1,0,0,0,0
159,$101K-$165K (Glassdoor est.),"Fort Meade, MD",10000+ employees,1969,Company - Public,Aerospace & Defense,$10+ billion (USD),101000,165000,133000.0,MD,55,0,0,1,0,10000.0,10.0,1,0,1,0,0,0,0,1,0,0
160,$101K-$165K (Glassdoor est.),"San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,$100 to $500 million (USD),101000,165000,133000.0,CA,18,0,0,0,1,500.0,500.0,1,0,1,0,0,1,1,1,0,1
161,$101K-$165K (Glassdoor est.),"Columbia, MO",1001 to 5000 employees,1946,Company - Private,Insurance Carriers,$1 to $2 billion (USD),101000,165000,133000.0,MO,78,0,0,0,1,5000.0,2.0,1,0,0,1,0,1,1,1,1,0
162,$101K-$165K (Glassdoor est.),"Chantilly, VA",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,$2 to $5 billion (USD),101000,165000,133000.0,VA,2025,0,0,1,0,10000.0,5.0,1,0,1,0,0,0,0,0,0,0
163,$101K-$165K (Glassdoor est.),"Washington, DC",501 to 1000 employees,1997,Nonprofit Organization,Other,$25 to $50 million (USD),101000,165000,133000.0,DC,27,0,0,0,0,1000.0,50.0,1,0,0,1,0,1,1,0,1,0
164,$101K-$165K (Glassdoor est.),"Vicksburg, MS",10000+ employees,1996,Subsidiary or Business Segment,IT Services,$10+ billion (USD),101000,165000,133000.0,MS,28,0,0,0,0,10000.0,10.0,0,0,1,0,0,0,0,0,0,0
165,$101K-$165K (Glassdoor est.),"Chandler, AZ",201 to 500 employees,2015,Company - Private,Other,Unknown / Non-Applicable,101000,165000,133000.0,AZ,9,0,0,0,1,500.0,147.54861111111111,1,0,1,0,0,1,1,0,1,0
166,$101K-$165K (Glassdoor est.),"San Francisco, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),101000,165000,133000.0,CA,42,1,0,1,0,10000.0,5.0,1,0,0,1,0,1,1,0,0,1
167,$101K-$165K (Glassdoor est.),"San Francisco, CA",5001 to 10000 employees,1968,Company - Public,Other,$1 to $2 billion (USD),101000,165000,133000.0,CA,56,1,0,1,0,10000.0,2.0,1,0,0,1,0,1,1,0,0,1
168,$101K-$165K (Glassdoor est.),"Birmingham, AL",10000+ employees,1957,Company - Public,-1,$10+ billion (USD),101000,165000,133000.0,AL,67,0,0,1,0,10000.0,10.0,1,1,0,0,0,1,1,1,0,1
169,$101K-$165K (Glassdoor est.),"Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,$100 to $500 million (USD),101000,165000,133000.0,PA,21,1,0,0,0,5000.0,500.0,1,0,0,1,0,0,1,0,1,0
170,$101K-$165K (Glassdoor est.),"Chicago, IL",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,$5 to $10 billion (USD),101000,165000,133000.0,IL,78,0,0,1,0,10000.0,10.0,1,0,1,0,0,0,0,0,1,0
171,$101K-$165K (Glassdoor est.),"Redwood City, CA",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101000,165000,133000.0,CA,9,0,0,0,1,1000.0,147.54861111111111,0,0,1,0,1,1,1,1,0,0
172,$101K-$165K (Glassdoor est.),"Redwood City, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),101000,165000,133000.0,CA,15,0,0,0,1,500.0,500.0,1,0,1,0,0,1,0,0,1,0
173,$101K-$165K (Glassdoor est.),"New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,101000,165000,133000.0,NY,10,1,0,0,1,500.0,147.54861111111111,1,0,1,0,0,1,0,0,0,0
174,$101K-$165K (Glassdoor est.),"San Diego, CA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Other,$1 to $2 billion (USD),101000,165000,133000.0,CA,71,0,0,0,0,5000.0,2.0,1,0,0,1,0,1,1,0,1,0
175,$101K-$165K (Glassdoor est.),"Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101000,165000,133000.0,IL,9,1,0,0,1,1000.0,147.54861111111111,1,0,1,0,1,1,1,1,0,0
176,$101K-$165K (Glassdoor est.),"Cincinnati, OH",201 to 500 employees,1998,Company - Private,Other,$50 to $100 million (USD),101000,165000,133000.0,OH,26,0,0,0,1,500.0,100.0,1,1,0,0,0,1,1,1,1,0
177,$56K-$97K (Glassdoor est.),"Richland, WA",1001 to 5000 employees,1965,Government,Other,$500 million to $1 billion (USD),56000,97000,76500.0,WA,59,0,0,0,0,5000.0,500.0,1,0,1,0,0,0,0,0,1,0
178,$56K-$97K (Glassdoor est.),"Memphis, TN",1001 to 5000 employees,1945,Company - Private,Other,$500 million to $1 billion (USD),56000,97000,76500.0,TN,79,0,0,0,1,5000.0,500.0,1,0,1,0,0,1,1,0,0,0
179,$56K-$97K (Glassdoor est.),"Memphis, TN",501 to 1000 employees,1967,Nonprofit Organization,Other,$50 to $100 million (USD),56000,97000,76500.0,TN,57,0,0,0,0,1000.0,100.0,0,1,0,0,1,1,0,0,0,0
180,$56K-$97K (Glassdoor est.),"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million (USD),56000,97000,76500.0,MD,11,0,0,0,0,1000.0,500.0,0,0,1,0,0,0,0,0,1,0
181,$56K-$97K (Glassdoor est.),"Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,$25 to $50 million (USD),56000,97000,76500.0,PA,27,0,1,0,1,500.0,50.0,1,0,0,1,0,0,0,0,1,0
182,$56K-$97K (Glassdoor est.),"New York, NY",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,$1 to $2 billion (USD),56000,97000,76500.0,NY,76,1,0,1,0,5000.0,2.0,1,0,1,0,0,1,1,1,0,1
183,$56K-$97K (Glassdoor est.),"Oak Ridge, TN",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,$500 million to $1 billion (USD),56000,97000,76500.0,TN,174,0,0,1,0,10000.0,500.0,1,0,1,0,0,1,0,0,0,0
184,$56K-$97K (Glassdoor est.),"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Unknown / Non-Applicable,56000,97000,76500.0,CA,16,1,0,1,0,200.0,147.54861111111111,1,0,0,1,0,1,1,0,0,0
185,$56K-$97K (Glassdoor est.),"Boston, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,$10+ billion (USD),56000,97000,76500.0,MA,173,1,0,0,1,10000.0,10.0,1,0,1,0,0,1,1,1,0,1
186,$56K-$97K (Glassdoor est.),"San Carlos, CA",501 to 1000 employees,2004,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million (USD),56000,97000,76500.0,CA,20,0,0,1,0,1000.0,500.0,1,1,0,0,0,1,0,1,1,0
187,$56K-$97K (Glassdoor est.),"South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$10+ billion (USD),56000,97000,76500.0,CA,48,0,0,0,0,10000.0,10.0,0,0,1,0,0,1,0,1,1,0
188,$56K-$97K (Glassdoor est.),"Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,$50 to $100 million (USD),56000,97000,76500.0,VA,14,0,0,0,1,500.0,100.0,0,0,1,0,0,1,1,0,0,0
189,$56K-$97K (Glassdoor est.),"Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Unknown / Non-Applicable,56000,97000,76500.0,MA,29,1,0,0,0,3313.375796178344,147.54861111111111,1,0,1,0,1,1,0,1,1,1
190,$56K-$97K (Glassdoor est.),"San Francisco, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Unknown / Non-Applicable,56000,97000,76500.0,CA,25,1,0,0,0,1000.0,147.54861111111111,0,0,1,0,1,1,1,0,0,0
191,$56K-$97K (Glassdoor est.),"Santa Clara, CA",51 to 200 employees,2011,Company - Private,IT Services,Unknown / Non-Applicable,56000,97000,76500.0,CA,13,0,0,0,1,200.0,147.54861111111111,1,1,0,0,0,1,0,1,0,0
192,$56K-$97K (Glassdoor est.),"Gaithersburg, MD",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),56000,97000,76500.0,MD,111,1,0,1,0,10000.0,10.0,1,0,1,0,0,1,0,0,1,0
193,$56K-$97K (Glassdoor est.),"San Francisco, CA",Unknown,-1,Company - Public,-1,Unknown / Non-Applicable,56000,97000,76500.0,CA,2025,0,0,1,0,3313.375796178344,147.54861111111111,1,0,1,0,0,1,1,0,0,0
194,$56K-$97K (Glassdoor est.),"New York, NY",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),56000,97000,76500.0,NY,111,1,0,1,0,10000.0,10.0,1,0,1,0,0,1,0,0,0,0
195,$56K-$97K (Glassdoor est.),"San Carlos, CA",51 to 200 employees,-1,Company - Private,-1,Unknown / Non-Applicable,56000,97000,76500.0,CA,2025,0,0,0,1,200.0,147.54861111111111,1,0,1,0,0,1,1,1,1,1
196,$56K-$97K (Glassdoor est.),"Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,$100 to $500 million (USD),56000,97000,76500.0,TX,106,1,0,0,0,10000.0,500.0,1,0,0,1,0,0,0,0,0,0
197,$56K-$97K (Glassdoor est.),"Smithfield, RI",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million (USD),56000,97000,76500.0,RI,11,1,0,1,0,500.0,500.0,0,0,1,0,0,0,0,0,0,0
198,$56K-$97K (Glassdoor est.),"Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Other,$100 to $500 million (USD),56000,97000,76500.0,IA,32,0,0,0,1,1000.0,500.0,1,0,0,1,0,0,1,0,1,0
200,$79K-$106K (Glassdoor est.),"Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,$10 to $25 million (USD),79000,106000,92500.0,IL,32,0,0,0,1,200.0,25.0,1,0,1,0,0,0,1,0,0,0
201,$79K-$106K (Glassdoor est.),"McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,$10 to $25 million (USD),79000,106000,92500.0,VA,16,0,0,0,1,200.0,25.0,1,0,1,0,0,1,0,0,1,0
202,$79K-$106K (Glassdoor est.),"Fort Belvoir, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,$100 to $500 million (USD),79000,106000,92500.0,VA,70,0,0,1,0,1000.0,500.0,0,1,0,0,1,1,0,0,0,0
203,$79K-$106K (Glassdoor est.),"San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,$50 to $100 million (USD),79000,106000,92500.0,CA,16,0,0,0,1,200.0,100.0,1,1,0,0,0,1,1,0,1,0
204,$79K-$106K (Glassdoor est.),"Cambridge, MA",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),79000,106000,92500.0,MA,28,1,0,1,0,10000.0,10.0,1,0,1,0,0,0,0,0,0,0
205,$79K-$106K (Glassdoor est.),"Linthicum Heights, MD",1001 to 5000 employees,2001,Company - Private,Other,$1 to $2 billion (USD),79000,106000,92500.0,MD,23,0,0,0,1,5000.0,2.0,1,1,0,0,0,1,1,1,1,0
206,$79K-$106K (Glassdoor est.),"Herndon, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),79000,106000,92500.0,VA,12,0,0,0,1,1000.0,500.0,1,0,0,0,0,0,0,0,1,0
207,$79K-$106K (Glassdoor est.),"Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Other,$100 to $500 million (USD),79000,106000,92500.0,MN,25,1,0,1,0,5000.0,500.0,0,0,0,1,0,0,1,0,0,0
208,$79K-$106K (Glassdoor est.),"Tulsa, OK",201 to 500 employees,1996,Company - Public,Other,$50 to $100 million (USD),79000,106000,92500.0,OK,28,0,0,1,0,500.0,100.0,1,0,0,1,0,0,0,0,1,0
209,$79K-$106K (Glassdoor est.),"Annapolis Junction, MD",1 to 50 employees,2011,Company - Private,IT Services,$1 to $5 million (USD),79000,106000,92500.0,MD,13,0,0,0,1,50.0,5.0,1,0,1,0,0,1,0,0,0,1
210,$79K-$106K (Glassdoor est.),"Newton, MA",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,$100 to $500 million (USD),79000,106000,92500.0,MA,34,0,0,0,0,500.0,500.0,1,0,1,0,0,1,1,1,1,0
211,$79K-$106K (Glassdoor est.),"Herndon, VA",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,$2 to $5 billion (USD),79000,106000,92500.0,VA,2025,1,0,1,0,10000.0,5.0,1,0,1,0,0,1,1,0,1,0
212,$79K-$106K (Glassdoor est.),"Baltimore, MD",1 to 50 employees,2011,Company - Private,IT Services,$1 to $5 million (USD),79000,106000,92500.0,MD,13,0,0,0,1,50.0,5.0,1,0,1,0,0,1,0,0,0,1
213,$79K-$106K (Glassdoor est.),"Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,79000,106000,92500.0,MA,12,0,0,0,1,500.0,147.54861111111111,1,1,0,0,0,1,0,0,0,0
214,$79K-$106K (Glassdoor est.),"Oklahoma City, OK",1001 to 5000 employees,1947,Nonprofit Organization,Other,$500 million to $1 billion (USD),79000,106000,92500.0,OK,77,0,0,0,0,5000.0,500.0,0,1,1,0,0,1,0,0,1,0
215,$79K-$106K (Glassdoor est.),"Gaithersburg, MD",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),79000,106000,92500.0,MD,111,0,0,1,0,10000.0,10.0,1,0,1,0,0,1,1,1,0,1
216,$79K-$106K (Glassdoor est.),"Fort Belvoir, VA",501 to 1000 employees,2010,Company - Private,IT Services,$100 to $500 million (USD),79000,106000,92500.0,VA,14,1,0,0,1,1000.0,500.0,1,0,0,1,0,1,0,0,0,0
217,$79K-$106K (Glassdoor est.),"Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,$500 million to $1 billion (USD),79000,106000,92500.0,CA,28,0,0,0,0,1000.0,500.0,1,0,0,0,0,0,1,0,0,0
218,$79K-$106K (Glassdoor est.),"Boston, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,$10+ billion (USD),79000,106000,92500.0,MA,173,0,0,0,1,10000.0,10.0,1,0,0,0,0,0,1,0,1,1
219,$79K-$106K (Glassdoor est.),"Redwood City, CA",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,106000,92500.0,CA,9,1,0,0,1,1000.0,147.54861111111111,0,0,1,0,1,1,1,1,0,0
220,$79K-$106K (Glassdoor est.),"Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Other,Unknown / Non-Applicable,79000,106000,92500.0,SC,69,0,0,0,1,5000.0,147.54861111111111,1,0,0,1,0,0,1,0,0,0
221,$71K-$123K (Glassdoor est.),"New York, NY",51 to 200 employees,2011,Company - Private,Internet,$100 to $500 million (USD),71000,123000,97000.0,NY,13,0,0,0,1,200.0,500.0,1,0,1,0,1,1,0,0,0,1
222,$71K-$123K (Glassdoor est.),"Orlando, FL",51 to 200 employees,1996,Company - Private,Other,$100 to $500 million (USD),71000,123000,97000.0,FL,28,0,0,0,1,200.0,500.0,1,0,1,0,0,1,0,1,1,1
223,$71K-$123K (Glassdoor est.),"Cincinnati, OH",201 to 500 employees,1998,Company - Private,Other,$50 to $100 million (USD),71000,123000,97000.0,OH,26,0,0,0,1,500.0,100.0,1,1,0,0,0,1,1,1,1,0
224,$71K-$123K (Glassdoor est.),"San Francisco, CA",501 to 1000 employees,2014,Company - Private,Other,$2 to $5 billion (USD),71000,123000,97000.0,CA,10,0,0,0,1,1000.0,5.0,1,0,1,0,0,1,1,1,0,0
225,$71K-$123K (Glassdoor est.),"Hartford, CT",51 to 200 employees,2008,Company - Private,IT Services,$5 to $10 million (USD),71000,123000,97000.0,CT,16,0,0,0,1,200.0,10.0,1,0,1,0,0,1,1,0,0,0
226,$71K-$123K (Glassdoor est.),"Chicago, IL",1001 to 5000 employees,1999,Company - Private,IT Services,$100 to $500 million (USD),71000,123000,97000.0,IL,25,0,0,0,1,5000.0,500.0,1,0,1,0,0,1,1,0,1,1
228,$71K-$123K (Glassdoor est.),"Beavercreek, OH",501 to 1000 employees,1967,Nonprofit Organization,Other,$50 to $100 million (USD),71000,123000,97000.0,OH,57,0,0,0,0,1000.0,100.0,0,1,0,0,1,1,0,0,0,0
229,$71K-$123K (Glassdoor est.),"Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Other,$2 to $5 billion (USD),71000,123000,97000.0,MD,87,0,0,1,0,10000.0,5.0,1,0,0,1,0,1,0,0,1,0
230,$71K-$123K (Glassdoor est.),"Norfolk, VA",1 to 50 employees,-1,Company - Private,IT Services,$5 to $10 million (USD),71000,123000,97000.0,VA,2025,0,0,0,1,50.0,10.0,1,0,1,0,0,0,0,1,1,0
231,$71K-$123K (Glassdoor est.),"Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million (USD),71000,123000,97000.0,MD,11,0,0,0,0,1000.0,500.0,0,0,1,0,0,0,0,0,1,0
232,$71K-$123K (Glassdoor est.),"Oak Ridge, TN",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,$500 million to $1 billion (USD),71000,123000,97000.0,TN,174,0,0,1,0,10000.0,500.0,1,0,1,0,0,1,0,0,0,0
233,$71K-$123K (Glassdoor est.),"Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Unknown / Non-Applicable,71000,123000,97000.0,NC,7,0,0,1,0,5000.0,147.54861111111111,1,0,0,1,0,0,0,0,0,0
234,$71K-$123K (Glassdoor est.),"New York, NY",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,$1 to $2 billion (USD),71000,123000,97000.0,NY,76,1,0,1,0,5000.0,2.0,1,0,1,0,0,1,1,1,0,1
235,$71K-$123K (Glassdoor est.),"Champaign, IL",10000+ employees,1971,Company - Public,Other,$1 to $2 billion (USD),71000,123000,97000.0,IL,53,0,0,1,0,10000.0,2.0,1,0,1,0,0,0,1,0,1,0
236,$71K-$123K (Glassdoor est.),"San Francisco, CA",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Less than $1 million (USD),71000,123000,97000.0,CA,2025,0,0,0,1,50.0,1.0,1,0,1,0,0,1,1,0,0,0
238,$71K-$123K (Glassdoor est.),"San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Unknown / Non-Applicable,71000,123000,97000.0,CA,16,1,0,1,0,200.0,147.54861111111111,1,0,0,1,0,1,1,0,0,0
